episode_id,type,our_seat,our_reward,opp_team,opp_submission_id,opp_reward,result,our_buy_land,our_buy_animal,our_hire,our_n_unlocked,our_max_hands,our_animals_placed,our_land_cause_day,our_land_cause_hour,our_land_cause_money,our_land_cause_hands,our_land_cause_plants,opp_buy_land,opp_buy_animal,opp_hire,opp_n_unlocked,opp_max_hands,opp_animals_placed,opp_land,opp_animals
94190691,EPISODE_TYPE_PUBLIC,1,23559,Pravin Takpire,55427561,12470,WIN,1,10,126,2,8,8,13,1,18961.0,2,4,2,0,345,3,12,0,True,False
94186391,EPISODE_TYPE_PUBLIC,0,32844,Kelian Esteve,55242687,4867,WIN,1,10,125,2,8,8,13,1,23626.0,2,4,2,4,54,3,3,0,True,True
94164297,EPISODE_TYPE_PUBLIC,1,34864,ayman elamin,55595645,48697,LOSS,1,10,126,2,8,8,13,1,24018.0,2,4,1,3,220,2,9,4,True,True
94163827,EPISODE_TYPE_PUBLIC,0,29921,greySnow,55337014,27538,WIN,1,10,124,2,8,8,13,1,24018.0,2,4,1,12,187,2,9,12,True,True
94163310,EPISODE_TYPE_PUBLIC,1,25820,Rbda,55295053,43074,LOSS,1,10,126,2,8,8,13,1,22890.0,2,4,2,5,377,3,12,5,True,True
94162804,EPISODE_TYPE_PUBLIC,0,20057,Luxshan Thavarasa,55528985,74474,LOSS,1,10,126,2,8,8,13,1,17983.0,2,4,3,17,320,4,12,5,True,True
94162321,EPISODE_TYPE_PUBLIC,1,34341,Krish Singh,55275271,7818,WIN,1,10,125,2,8,8,13,1,24018.0,2,4,1,3,81,2,3,0,True,True
94161810,EPISODE_TYPE_PUBLIC,1,29742,vlavlalva,55515578,48242,LOSS,1,10,125,2,8,8,13,1,24018.0,2,4,2,15,285,3,12,12,True,True
94161314,EPISODE_TYPE_PUBLIC,1,20640,vietlinhh02,55323365,78189,LOSS,1,10,124,2,8,4,13,1,24018.0,2,4,2,5,241,3,10,14,True,True
94160952,EPISODE_TYPE_VALIDATION,0,16557,(self-play validation),55596355,16575,LOSS,1,11,124,2,8,9,13,1,16017.0,2,4,1,11,125,2,8,9,True,True
