episode_id,type,our_seat,our_reward,opp_team,opp_submission_id,opp_reward,result,our_buy_land,our_buy_animal,our_hire,our_n_unlocked,our_max_hands,our_animals_placed,our_land_cause_day,our_land_cause_hour,our_land_cause_money,our_land_cause_hands,our_land_cause_plants,opp_buy_land,opp_buy_animal,opp_hire,opp_n_unlocked,opp_max_hands,opp_animals_placed,opp_land,opp_animals
94125407,EPISODE_TYPE_PUBLIC,1,8996,nyori,55592435,144206,LOSS,1,10,124,2,8,3,13,1,13352.0,2,4,2,8,277,3,12,14,True,True
94115133,EPISODE_TYPE_PUBLIC,1,30367,atakan akgün,55486602,37542,LOSS,1,10,126,2,8,8,13,1,24018.0,2,4,2,4,261,3,9,20,True,True
94099176,EPISODE_TYPE_PUBLIC,0,15332,Thomas De Sousa,55290924,47318,LOSS,1,10,111,2,8,8,13,1,7525.0,2,4,1,12,236,2,10,12,True,True
94098293,EPISODE_TYPE_PUBLIC,0,17598,ziszim,55557422,13571,WIN,1,10,124,2,8,5,13,1,17813.0,2,4,0,0,0,1,0,0,False,False
94097395,EPISODE_TYPE_PUBLIC,0,21958,Bharath2411,55412915,37337,LOSS,1,10,124,2,8,8,13,1,21463.0,2,4,1,14,273,2,11,11,True,True
94096506,EPISODE_TYPE_PUBLIC,0,33372,sileza,55483633,28277,WIN,1,11,125,2,8,9,13,1,24018.0,2,4,2,3,63,3,4,4,True,True
94095609,EPISODE_TYPE_PUBLIC,0,10468,RiyaSoni20,55588726,71528,LOSS,1,10,124,2,8,5,13,1,13781.0,2,4,1,7,241,2,12,9,True,True
94094722,EPISODE_TYPE_PUBLIC,1,18874,revv0o,55529125,18321,WIN,1,10,124,2,8,8,13,1,19271.0,2,4,1,0,86,2,3,0,True,False
94093841,EPISODE_TYPE_PUBLIC,0,21125,Priyanshu Jha,55522597,20050,WIN,1,10,124,2,8,8,13,1,18969.0,2,4,0,1,82,1,3,1,False,True
94092953,EPISODE_TYPE_PUBLIC,1,28892,appu2431,55436835,2744,WIN,1,10,125,2,8,8,13,1,24018.0,2,4,2,0,166,3,8,0,True,False
94092047,EPISODE_TYPE_PUBLIC,1,25513,D Mohith,55150571,33138,LOSS,1,10,124,2,8,8,13,1,20701.0,2,4,1,6,132,2,6,4,True,True
94091165,EPISODE_TYPE_PUBLIC,0,19928,AAYUSHMAAN PATEL,55372500,15977,WIN,1,10,124,2,8,5,13,1,20701.0,2,4,1,0,90,2,3,0,True,False
94090250,EPISODE_TYPE_PUBLIC,1,27032,SOONHANKWON,55588914,36604,LOSS,1,10,126,2,8,8,13,1,22153.0,2,4,1,6,223,2,8,8,True,True
94089343,EPISODE_TYPE_PUBLIC,1,19591,andres555,55324350,25509,LOSS,1,10,124,2,8,8,13,1,10865.0,2,4,0,0,180,1,6,0,False,False
94088449,EPISODE_TYPE_PUBLIC,0,23674,uninhibited-scholar,55540351,20970,WIN,1,10,125,2,8,8,13,1,24018.0,2,4,2,15,240,3,8,13,True,True
94087563,EPISODE_TYPE_PUBLIC,0,22202,Tom Dufresne,55300383,8574,WIN,1,10,124,2,8,8,13,1,14617.0,2,4,2,0,60,3,2,0,True,False
94086682,EPISODE_TYPE_PUBLIC,0,8285,Shailaja J,55461255,28089,LOSS,1,10,101,2,8,4,13,1,7021.0,2,4,2,0,168,3,6,0,True,False
94085788,EPISODE_TYPE_PUBLIC,0,33149,Prem Gandhi,55306046,10860,WIN,1,10,126,2,8,8,13,1,24018.0,2,4,1,2,108,2,4,0,True,True
94084891,EPISODE_TYPE_PUBLIC,0,28070,Inna Davidov,55483186,47914,LOSS,1,10,125,2,8,8,13,1,24018.0,2,4,1,19,263,2,9,0,True,True
94083993,EPISODE_TYPE_PUBLIC,1,18287,Qui Ngx,55259715,51083,LOSS,1,10,124,2,8,8,13,1,20701.0,2,4,3,16,204,4,10,4,True,True
94083444,EPISODE_TYPE_VALIDATION,0,21869,(self-play validation),55589463,16819,WIN,1,10,124,2,8,4,13,1,16017.0,2,4,1,10,124,2,8,4,True,True
